INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;1-249 habitantes;Disponen de energía eléctrica;No especificado;146;86;19;62;0;5;44;16
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Total;8.217;2.565;123;1.861;470;111;5.501;151
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.412;662;60;463;108;31;727;23
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.215;426;17;305;95;9;769;20
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);87;34;6;28;0;0;47;6
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;340;112;10;70;29;3;220;8
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua de pipa;442;205;5;173;14;13;232;5
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;4.664;1.116;25;812;224;55;3.467;81
14 Jalisco;1-249 habitantes;No disponen de energía eléctrica;No especificado;57;10;0;10;0;0;39;8
14 Jalisco;1-249 habitantes;No especificado;Total;275;58;11;42;5;0;58;159
14 Jalisco;1-249 habitantes;No especificado;Agua entubada dentro de la vivienda;31;19;5;13;1;0;11;1
14 Jalisco;1-249 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;16;9;3;5;1;0;7;0
14 Jalisco;1-249 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);6;3;1;2;0;0;3;0
14 Jalisco;1-249 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;2;0;0;0;0;0;2;0
14 Jalisco;1-249 habitantes;No especificado;Agua de pipa;11;8;0;8;0;0;3;0
14 Jalisco;1-249 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;51;17;1;13;3;0;32;2
14 Jalisco;1-249 habitantes;No especificado;No especificado;158;2;1;1;0;0;0;156
14 Jalisco;250-499 habitantes;Total;Total;35.836;31.637;17.102;12.558;1.054;923;3.920;279
14 Jalisco;250-499 habitantes;Total;Agua entubada dentro de la vivienda;23.762;22.285;13.516;7.371;714;684;1.398;79
14 Jalisco;250-499 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;6.756;5.466;2.394;2.726;202;144;1.243;47
14 Jalisco;250-499 habitantes;Total;Agua entubada de la llave pública (o hidrante);913;763;332;413;5;13;133;17
14 Jalisco;250-499 habitantes;Total;Agua entubada que acarrean de otra vivienda;699;393;126;246;13;8;276;30
14 Jalisco;250-499 habitantes;Total;Agua de pipa;568;413;120;278;8;7;149;6
14 Jalisco;250-499 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;3.013;2.282;598;1.508;112;64;702;29
14 Jalisco;250-499 habitantes;Total;No especificado;125;35;16;16;0;3;19;71
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Total;34.902;31.290;17.009;12.336;1.029;916;3.404;208
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;23.496;22.150;13.467;7.299;702;682;1.269;77
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;6.503;5.362;2.365;2.658;198;141;1.098;43
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);903;761;331;412;5;13;125;17
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;584;356;117;221;10;8;202;26
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua de pipa;521;389;119;255;8;7;127;5
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2.835;2.238;594;1.476;106;62;571;26
14 Jalisco;250-499 habitantes;Disponen de energía eléctrica;No especificado;60;34;16;15;0;3;12;14
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Total;847;325;84;210;25;6;509;13
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;251;122;42;67;12;1;127;2
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;246;99;28;64;4;3;144;3
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);9;1;1;0;0;0;8;0
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;113;36;8;25;3;0;73;4
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua de pipa;46;23;1;22;0;0;22;1
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;177;43;4;31;6;2;131;3
14 Jalisco;250-499 habitantes;No disponen de energía eléctrica;No especificado;5;1;0;1;0;0;4;0
14 Jalisco;250-499 habitantes;No especificado;Total;87;22;9;12;0;1;7;58
14 Jalisco;250-499 habitantes;No especificado;Agua entubada dentro de la vivienda;15;13;7;5;0;1;2;0
14 Jalisco;250-499 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;7;5;1;4;0;0;1;1
14 Jalisco;250-499 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;250-499 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;2;1;1;0;0;0;1;0
14 Jalisco;250-499 habitantes;No especificado;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;250-499 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;0;1;0;0;0;0
14 Jalisco;250-499 habitantes;No especificado;No especificado;60;0;0;0;0;0;3;57
14 Jalisco;500-999 habitantes;Total;Total;46.672;43.404;31.604;10.624;562;614;3.016;252
14 Jalisco;500-999 habitantes;Total;Agua entubada dentro de la vivienda;33.741;32.335;25.690;6.010;283;352;1.330;76
14 Jalisco;500-999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;8.216;7.228;4.329;2.524;216;159;940;48
14 Jalisco;500-999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.512;1.422;470;937;12;3;82;8
14 Jalisco;500-999 habitantes;Total;Agua entubada que acarrean de otra vivienda;639;352;195;145;10;2;274;13
14 Jalisco;500-999 habitantes;Total;Agua de pipa;567;505;188;309;6;2;57;5
14 Jalisco;500-999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;1.849;1.510;698;681;35;96;316;23
14 Jalisco;500-999 habitantes;Total;No especificado;148;52;34;18;0;0;17;79
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Total;45.848;43.015;31.463;10.393;555;604;2.667;166
14 Jalisco;500-999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;33.508;32.182;25.607;5.947;280;348;1.252;74
