INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por tamaño de localidad, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 7
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Tamaño de localidad;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;2 500-4 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;3;3;0;3;0;0;0;0
14 Jalisco;2 500-4 999 habitantes;No especificado;No especificado;104;1;0;1;0;0;0;103
14 Jalisco;5 000-9 999 habitantes;Total;Total;93.170;91.913;87.751;3.648;217;297;920;337
14 Jalisco;5 000-9 999 habitantes;Total;Agua entubada dentro de la vivienda;86.292;85.705;82.974;2.295;180;256;459;128
14 Jalisco;5 000-9 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;3.888;3.705;2.986;666;23;30;160;23
14 Jalisco;5 000-9 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);810;787;722;59;5;1;23;0
14 Jalisco;5 000-9 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;630;471;342;120;3;6;149;10
14 Jalisco;5 000-9 999 habitantes;Total;Agua de pipa;351;315;125;186;3;1;34;2
14 Jalisco;5 000-9 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;937;844;520;318;3;3;90;3
14 Jalisco;5 000-9 999 habitantes;Total;No especificado;262;86;82;4;0;0;5;171
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Total;92.497;91.497;87.456;3.536;214;291;802;198
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;85.976;85.428;82.741;2.256;179;252;421;127
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3.817;3.651;2.959;640;22;30;146;20
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);801;783;721;56;5;1;18;0
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;560;432;317;108;2;5;119;9
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua de pipa;325;298;123;171;3;1;25;2
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;895;822;515;302;3;2;71;2
14 Jalisco;5 000-9 999 habitantes;Disponen de energía eléctrica;No especificado;123;83;80;3;0;0;2;38
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Total;486;365;247;109;3;6;115;6
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;273;235;193;37;1;4;37;1
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;67;51;24;26;1;0;13;3
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);9;4;1;3;0;0;5;0
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;69;38;24;12;1;1;30;1
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua de pipa;23;14;0;14;0;0;9;0
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;41;22;5;16;0;1;18;1
14 Jalisco;5 000-9 999 habitantes;No disponen de energía eléctrica;No especificado;4;1;0;1;0;0;3;0
14 Jalisco;5 000-9 999 habitantes;No especificado;Total;187;51;48;3;0;0;3;133
14 Jalisco;5 000-9 999 habitantes;No especificado;Agua entubada dentro de la vivienda;43;42;40;2;0;0;1;0
14 Jalisco;5 000-9 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;4;3;3;0;0;0;1;0
14 Jalisco;5 000-9 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;5 000-9 999 habitantes;No especificado;Agua de pipa;3;3;2;1;0;0;0;0
14 Jalisco;5 000-9 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;0;0;0;0;0;1;0
14 Jalisco;5 000-9 999 habitantes;No especificado;No especificado;135;2;2;0;0;0;0;133
14 Jalisco;10 000-14 999 habitantes;Total;Total;74.569;73.659;71.899;1.525;166;69;554;356
14 Jalisco;10 000-14 999 habitantes;Total;Agua entubada dentro de la vivienda;70.791;70.377;69.060;1.156;113;48;259;155
14 Jalisco;10 000-14 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;1.680;1.614;1.453;133;17;11;63;3
14 Jalisco;10 000-14 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);403;374;332;24;15;3;27;2
14 Jalisco;10 000-14 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;390;285;219;59;5;2;101;4
14 Jalisco;10 000-14 999 habitantes;Total;Agua de pipa;352;313;220;82;10;1;39;0
14 Jalisco;10 000-14 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;686;621;547;66;4;4;60;5
14 Jalisco;10 000-14 999 habitantes;Total;No especificado;267;75;68;5;2;0;5;187
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Total;74.144;73.440;71.728;1.479;164;69;474;230
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;70.624;70.227;68.931;1.136;112;48;244;153
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.646;1.588;1.436;124;17;11;56;2
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);392;369;327;24;15;3;21;2
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;337;261;206;49;4;2;72;4
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua de pipa;337;308;218;79;10;1;29;0
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;668;615;545;62;4;4;48;5
14 Jalisco;10 000-14 999 habitantes;Disponen de energía eléctrica;No especificado;140;72;65;5;2;0;4;64
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Total;269;187;141;44;2;0;79;3
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;142;126;106;19;1;0;15;1
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;29;21;13;8;0;0;7;1
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);9;4;4;0;0;0;5;0
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;53;24;13;10;1;0;29;0
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua de pipa;15;5;2;3;0;0;10;0
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;17;5;1;4;0;0;12;0
14 Jalisco;10 000-14 999 habitantes;No disponen de energía eléctrica;No especificado;4;2;2;0;0;0;1;1
14 Jalisco;10 000-14 999 habitantes;No especificado;Total;156;32;30;2;0;0;1;123
14 Jalisco;10 000-14 999 habitantes;No especificado;Agua entubada dentro de la vivienda;25;24;23;1;0;0;0;1
14 Jalisco;10 000-14 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;5;5;4;1;0;0;0;0
14 Jalisco;10 000-14 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);2;1;1;0;0;0;1;0
14 Jalisco;10 000-14 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;1;0;0;0;0;0
14 Jalisco;10 000-14 999 habitantes;No especificado;No especificado;123;1;1;0;0;0;0;122
14 Jalisco;15 000-29 999 habitantes;Total;Total;165.153;162.773;152.045;9.895;518;315;1.676;704
14 Jalisco;15 000-29 999 habitantes;Total;Agua entubada dentro de la vivienda;148.277;147.288;141.216;5.459;377;236;743;246
14 Jalisco;15 000-29 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;4.805;4.634;3.453;1.134;18;29;160;11
14 Jalisco;15 000-29 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);4.513;4.460;3.997;427;31;5;48;5
14 Jalisco;15 000-29 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;1.280;1.032;625;359;32;16;233;15
14 Jalisco;15 000-29 999 habitantes;Total;Agua de pipa;3.115;2.844;1.085;1.726;23;10;252;19
14 Jalisco;15 000-29 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;2.551;2.313;1.496;763;35;19;229;9
14 Jalisco;15 000-29 999 habitantes;Total;No especificado;612;202;173;27;2;0;11;399
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Total;163.973;162.067;151.555;9.698;505;309;1.503;403
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;147.857;146.908;140.888;5.417;371;232;710;239
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;4.726;4.574;3.408;1.119;18;29;143;9
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);4.479;4.433;3.983;417;28;5;41;5
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;1.123;931;562;324;30;15;179;13
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua de pipa;2.996;2.754;1.069;1.652;23;10;226;16
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2.474;2.270;1.477;742;33;18;196;8
14 Jalisco;15 000-29 999 habitantes;Disponen de energía eléctrica;No especificado;318;197;168;27;2;0;8;113
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Total;797;612;402;191;13;6;167;18
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;339;300;251;39;6;4;32;7
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;72;54;39;15;0;0;16;2
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);32;25;13;9;3;0;7;0
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;154;100;62;35;2;1;52;2
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua de pipa;117;88;16;72;0;0;26;3
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;73;41;17;21;2;1;31;1
14 Jalisco;15 000-29 999 habitantes;No disponen de energía eléctrica;No especificado;10;4;4;0;0;0;3;3
14 Jalisco;15 000-29 999 habitantes;No especificado;Total;383;94;88;6;0;0;6;283
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua entubada dentro de la vivienda;81;80;77;3;0;0;1;0
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;7;6;6;0;0;0;1;0
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);2;2;1;1;0;0;0;0
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;3;1;1;0;0;0;2;0
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua de pipa;2;2;0;2;0;0;0;0
14 Jalisco;15 000-29 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;4;2;2;0;0;0;2;0
14 Jalisco;15 000-29 999 habitantes;No especificado;No especificado;284;1;1;0;0;0;0;283
14 Jalisco;30 000-49 999 habitantes;Total;Total;72.798;72.158;70.544;1.113;267;234;415;225
14 Jalisco;30 000-49 999 habitantes;Total;Agua entubada dentro de la vivienda;67.928;67.674;66.743;583;156;192;153;101
14 Jalisco;30 000-49 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;1.536;1.469;1.309;131;18;11;60;7
14 Jalisco;30 000-49 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.405;1.388;1.334;42;3;9;13;4
14 Jalisco;30 000-49 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;385;307;228;62;11;6;73;5
14 Jalisco;30 000-49 999 habitantes;Total;Agua de pipa;557;509;343;118;44;4;47;1
14 Jalisco;30 000-49 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;801;736;514;176;35;11;62;3
14 Jalisco;30 000-49 999 habitantes;Total;No especificado;186;75;73;1;0;1;7;104
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Total;72.432;71.908;70.358;1.062;260;228;370;154
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;67.785;67.538;66.620;575;155;188;147;100
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.507;1.447;1.289;129;18;11;55;5
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.374;1.360;1.324;24;3;9;10;4
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;345;283;212;57;9;5;59;3
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua de pipa;538;495;339;111;41;4;42;1
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;767;713;504;165;34;10;52;2
14 Jalisco;30 000-49 999 habitantes;Disponen de energía eléctrica;No especificado;116;72;70;1;0;1;5;39
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Total;274;224;162;49;7;6;44;6
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;122;115;102;8;1;4;6;1
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;26;20;19;1;0;0;5;1
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);30;27;10;17;0;0;3;0
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;39;23;15;5;2;1;14;2
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua de pipa;19;14;4;7;3;0;5;0
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;34;23;10;11;1;1;10;1
14 Jalisco;30 000-49 999 habitantes;No disponen de energía eléctrica;No especificado;4;2;2;0;0;0;1;1
14 Jalisco;30 000-49 999 habitantes;No especificado;Total;92;26;24;2;0;0;1;65
14 Jalisco;30 000-49 999 habitantes;No especificado;Agua entubada dentro de la vivienda;21;21;21;0;0;0;0;0
14 Jalisco;30 000-49 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;3;2;1;1;0;0;0;1
14 Jalisco;30 000-49 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;30 000-49 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;1;1;0;0;0;0;0
14 Jalisco;30 000-49 999 habitantes;No especificado;No especificado;66;1;1;0;0;0;1;64
14 Jalisco;50 000-99 999 habitantes;Total;Total;140.832;139.554;135.970;3.127;130;327;831;447
14 Jalisco;50 000-99 999 habitantes;Total;Agua entubada dentro de la vivienda;133.472;133.048;131.359;1.331;95;263;263;161
14 Jalisco;50 000-99 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;1.408;1.293;1.068;200;10;15;107;8
14 Jalisco;50 000-99 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.261;1.224;1.101;112;8;3;35;2
14 Jalisco;50 000-99 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;746;580;378;180;7;15;153;13
14 Jalisco;50 000-99 999 habitantes;Total;Agua de pipa;1.014;944;449;488;3;4;69;1
14 Jalisco;50 000-99 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;2.524;2.320;1.477;810;6;27;198;6
14 Jalisco;50 000-99 999 habitantes;Total;No especificado;407;145;138;6;1;0;6;256
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Total;140.317;139.258;135.743;3.064;130;321;756;303
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;133.273;132.862;131.179;1.326;95;262;250;161
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.390;1.280;1.061;195;10;14;104;6
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.253;1.218;1.097;111;8;2;33;2
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;686;552;358;172;7;15;123;11
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua de pipa;989;925;442;477;3;3;63;1
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2.466;2.281;1.470;780;6;25;179;6
14 Jalisco;50 000-99 999 habitantes;Disponen de energía eléctrica;No especificado;260;140;136;3;1;0;4;116
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Total;330;253;184;63;0;6;73;4
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;158;146;140;5;0;1;12;0
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;18;13;7;5;0;1;3;2
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);7;5;3;1;0;1;2;0
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;60;28;20;8;0;0;30;2
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua de pipa;25;19;7;11;0;1;6;0
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;57;39;7;30;0;2;18;0
14 Jalisco;50 000-99 999 habitantes;No disponen de energía eléctrica;No especificado;5;3;0;3;0;0;2;0
14 Jalisco;50 000-99 999 habitantes;No especificado;Total;185;43;43;0;0;0;2;140
14 Jalisco;50 000-99 999 habitantes;No especificado;Agua entubada dentro de la vivienda;41;40;40;0;0;0;1;0
14 Jalisco;50 000-99 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;50 000-99 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;0;0;0;0;0;1;0
14 Jalisco;50 000-99 999 habitantes;No especificado;No especificado;142;2;2;0;0;0;0;140
14 Jalisco;100 000-249 999 habitantes;Total;Total;53.239;52.352;48.797;3.511;24;20;459;428
14 Jalisco;100 000-249 999 habitantes;Total;Agua entubada dentro de la vivienda;48.735;48.500;46.588;1.890;9;13;122;113
14 Jalisco;100 000-249 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;2.673;2.604;1.898;701;4;1;53;16
14 Jalisco;100 000-249 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);222;210;89;119;1;1;11;1
14 Jalisco;100 000-249 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;515;427;93;327;6;1;84;4
14 Jalisco;100 000-249 999 habitantes;Total;Agua de pipa;498;335;10;320;4;1;161;2
14 Jalisco;100 000-249 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;199;173;34;137;0;2;24;2
14 Jalisco;100 000-249 999 habitantes;Total;No especificado;397;103;85;17;0;1;4;290
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Total;52.881;52.194;48.714;3.437;23;20;416;271
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;48.664;48.432;46.526;1.885;8;13;120;112
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.655;2.588;1.889;694;4;1;51;16
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);220;208;89;117;1;1;11;1
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;452;389;92;290;6;1;60;3
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua de pipa;476;323;10;308;4;1;151;2
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;182;160;32;126;0;2;20;2
14 Jalisco;100 000-249 999 habitantes;Disponen de energía eléctrica;No especificado;232;94;76;17;0;1;3;135
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Total;161;117;47;69;1;0;42;2
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;41;38;33;4;1;0;2;1
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;17;15;8;7;0;0;2;0
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);2;2;0;2;0;0;0;0
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;62;38;1;37;0;0;23;1
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua de pipa;19;9;0;9;0;0;10;0
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;16;12;2;10;0;0;4;0
14 Jalisco;100 000-249 999 habitantes;No disponen de energía eléctrica;No especificado;4;3;3;0;0;0;1;0
14 Jalisco;100 000-249 999 habitantes;No especificado;Total;197;41;36;5;0;0;1;155
14 Jalisco;100 000-249 999 habitantes;No especificado;Agua entubada dentro de la vivienda;30;30;29;1;0;0;0;0
14 Jalisco;100 000-249 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;100 000-249 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;1;0;0;0;0;0;1;0
14 Jalisco;100 000-249 999 habitantes;No especificado;Agua de pipa;3;3;0;3;0;0;0;0
14 Jalisco;100 000-249 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;0;1;0;0;0;0
14 Jalisco;100 000-249 999 habitantes;No especificado;No especificado;161;6;6;0;0;0;0;155
14 Jalisco;250 000-499 999 habitantes;Total;Total;90.323;88.998;84.472;3.860;307;359;912;413
14 Jalisco;250 000-499 999 habitantes;Total;Agua entubada dentro de la vivienda;79.063;78.774;77.753;700;179;142;179;110
14 Jalisco;250 000-499 999 habitantes;Total;Agua entubada fuera de la vivienda pero dentro del terreno;2.143;1.954;1.627;202;24;101;183;6
14 Jalisco;250 000-499 999 habitantes;Total;Agua entubada de la llave pública (o hidrante);1.151;1.102;836;214;46;6;47;2
14 Jalisco;250 000-499 999 habitantes;Total;Agua entubada que acarrean de otra vivienda;527;461;351;92;9;9;60;6
14 Jalisco;250 000-499 999 habitantes;Total;Agua de pipa;3.484;3.299;1.477;1.752;19;51;176;9
14 Jalisco;250 000-499 999 habitantes;Total;Agua de pozo, río, lago, arroyo u otra;3.542;3.279;2.307;894;29;49;256;7
14 Jalisco;250 000-499 999 habitantes;Total;No especificado;413;129;121;6;1;1;11;273
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Total;89.831;88.710;84.299;3.757;305;349;864;257
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;78.952;78.668;77.653;695;178;142;176;108
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.110;1.924;1.606;198;24;96;180;6
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);1.142;1.093;828;213;46;6;47;2
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;506;448;342;88;9;9;53;5
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua de pipa;3.391;3.219;1.462;1.692;19;46;163;9
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;3.477;3.234;2.291;866;28;49;237;6
14 Jalisco;250 000-499 999 habitantes;Disponen de energía eléctrica;No especificado;253;124;117;5;1;1;8;121
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Total;302;253;141;100;2;10;46;3
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;84;80;74;5;1;0;3;1
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;32;29;20;4;0;5;3;0
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua entubada de la llave pública (o hidrante);8;8;7;1;0;0;0;0
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;19;11;8;3;0;0;7;1
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua de pipa;91;79;15;59;0;5;12;0
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;62;43;14;28;1;0;18;1
14 Jalisco;250 000-499 999 habitantes;No disponen de energía eléctrica;No especificado;6;3;3;0;0;0;3;0
14 Jalisco;250 000-499 999 habitantes;No especificado;Total;190;35;32;3;0;0;2;153
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua entubada dentro de la vivienda;27;26;26;0;0;0;0;1
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;1;1;1;0;0;0;0;0
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua entubada de la llave pública (o hidrante);1;1;1;0;0;0;0;0
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua entubada que acarrean de otra vivienda;2;2;1;1;0;0;0;0
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;250 000-499 999 habitantes;No especificado;Agua de pozo, río, lago, arroyo u otra;3;2;2;0;0;0;1;0
14 Jalisco;250 000-499 999 habitantes;No especificado;No especificado;154;2;1;1;0;0;0;152
14 Jalisco;500 000-999 999 habitantes;Total;Total;133.308;131.605;127.536;3.703;170;196;858;845
14 Jalisco;500 000-999 999 habitantes;Total;Agua entubada dentro de la vivienda;124.532;123.902;122.007;1.667;96;132;409;221
