INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;006 Ameca;No disponen de excusado;Total;1.329;371;277;80;14;0;925;33
14 Jalisco;006 Ameca;No especificado;Total;51;25;16;6;0;3;7;19
14 Jalisco;008 Arandas;Total;Total;72.468;69.875;57.685;11.025;719;446;2.372;221
14 Jalisco;008 Arandas;Disponen de excusado;Total;70.199;69.561;57.607;10.913;620;421;582;56
14 Jalisco;008 Arandas;Disponen de excusado;Tiene descarga directa de agua;57.551;57.516;49.680;7.196;377;263;0;35
14 Jalisco;008 Arandas;Disponen de excusado;Le echan agua con cubeta;11.996;11.670;7.672;3.615;225;158;315;11
14 Jalisco;008 Arandas;Disponen de excusado;No se le puede echar agua;152;126;18;96;12;0;24;2
14 Jalisco;008 Arandas;Disponen de excusado;No especificado;500;249;237;6;6;0;243;8
14 Jalisco;008 Arandas;No disponen de excusado;Total;2.169;284;61;112;86;25;1.786;99
14 Jalisco;008 Arandas;No especificado;Total;100;30;17;0;13;0;4;66
14 Jalisco;010 Atemajac de Brizuela;Total;Total;6.642;6.161;5.622;474;62;3;411;70
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Total;6.197;6.089;5.566;468;52;3;88;20
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Tiene descarga directa de agua;2.889;2.889;2.596;259;31;3;0;0
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;Le echan agua con cubeta;3.212;3.184;2.957;206;21;0;21;7
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;No se le puede echar agua;77;16;13;3;0;0;61;0
14 Jalisco;010 Atemajac de Brizuela;Disponen de excusado;No especificado;19;0;0;0;0;0;6;13
14 Jalisco;010 Atemajac de Brizuela;No disponen de excusado;Total;413;72;56;6;10;0;319;22
14 Jalisco;010 Atemajac de Brizuela;No especificado;Total;32;0;0;0;0;0;4;28
14 Jalisco;011 Atengo;Total;Total;5.387;4.859;3.702;1.109;40;8;503;25
14 Jalisco;011 Atengo;Disponen de excusado;Total;4.905;4.781;3.645;1.098;30;8;124;0
14 Jalisco;011 Atengo;Disponen de excusado;Tiene descarga directa de agua;2.757;2.757;2.304;415;30;8;0;0
14 Jalisco;011 Atengo;Disponen de excusado;Le echan agua con cubeta;2.071;1.974;1.334;640;0;0;97;0
14 Jalisco;011 Atengo;Disponen de excusado;No se le puede echar agua;47;43;7;36;0;0;4;0
14 Jalisco;011 Atengo;Disponen de excusado;No especificado;30;7;0;7;0;0;23;0
14 Jalisco;011 Atengo;No disponen de excusado;Total;481;78;57;11;10;0;378;25
14 Jalisco;011 Atengo;No especificado;Total;1;0;0;0;0;0;1;0
14 Jalisco;012 Atenguillo;Total;Total;4.103;3.926;3.023;832;68;3;170;7
14 Jalisco;012 Atenguillo;Disponen de excusado;Total;3.942;3.906;3.011;832;60;3;36;0
14 Jalisco;012 Atenguillo;Disponen de excusado;Tiene descarga directa de agua;3.627;3.627;2.827;755;45;0;0;0
14 Jalisco;012 Atenguillo;Disponen de excusado;Le echan agua con cubeta;279;270;184;68;15;3;9;0
14 Jalisco;012 Atenguillo;Disponen de excusado;No se le puede echar agua;23;7;0;7;0;0;16;0
14 Jalisco;012 Atenguillo;Disponen de excusado;No especificado;13;2;0;2;0;0;11;0
14 Jalisco;012 Atenguillo;No disponen de excusado;Total;154;20;12;0;8;0;134;0
14 Jalisco;012 Atenguillo;No especificado;Total;7;0;0;0;0;0;0;7
14 Jalisco;013 Atotonilco el Alto;Total;Total;57.249;55.621;50.336;4.258;499;528;1.448;180
14 Jalisco;013 Atotonilco el Alto;Disponen de excusado;Total;55.939;55.301;50.164;4.151;476;510;604;34
14 Jalisco;013 Atotonilco el Alto;Disponen de excusado;Tiene descarga directa de agua;45.833;45.805;42.742;2.461;254;348;0;28
14 Jalisco;013 Atotonilco el Alto;Disponen de excusado;Le echan agua con cubeta;9.639;9.288;7.281;1.628;217;162;349;2
14 Jalisco;013 Atotonilco el Alto;Disponen de excusado;No se le puede echar agua;149;90;23;62;5;0;59;0
14 Jalisco;013 Atotonilco el Alto;Disponen de excusado;No especificado;318;118;118;0;0;0;196;4
14 Jalisco;013 Atotonilco el Alto;No disponen de excusado;Total;1.196;273;128;107;23;15;841;82
14 Jalisco;013 Atotonilco el Alto;No especificado;Total;114;47;44;0;0;3;3;64
14 Jalisco;014 Atoyac;Total;Total;8.197;7.996;6.612;1.100;262;22;189;12
14 Jalisco;014 Atoyac;Disponen de excusado;Total;8.045;7.971;6.612;1.078;259;22;63;11
14 Jalisco;014 Atoyac;Disponen de excusado;Tiene descarga directa de agua;4.803;4.796;4.414;344;33;5;0;7
14 Jalisco;014 Atoyac;Disponen de excusado;Le echan agua con cubeta;3.050;3.028;2.179;633;204;12;21;1
14 Jalisco;014 Atoyac;Disponen de excusado;No se le puede echar agua;182;140;12;101;22;5;42;0
14 Jalisco;014 Atoyac;Disponen de excusado;No especificado;10;7;7;0;0;0;0;3
14 Jalisco;014 Atoyac;No disponen de excusado;Total;151;25;0;22;3;0;126;0
14 Jalisco;014 Atoyac;No especificado;Total;1;0;0;0;0;0;0;1
14 Jalisco;015 Autlán de Navarro;Total;Total;57.169;56.431;51.248;5.078;47;58;567;171
14 Jalisco;015 Autlán de Navarro;Disponen de excusado;Total;56.245;55.988;51.067;4.831;35;55;204;53
14 Jalisco;015 Autlán de Navarro;Disponen de excusado;Tiene descarga directa de agua;42.194;42.163;40.022;2.093;12;36;0;31
14 Jalisco;015 Autlán de Navarro;Disponen de excusado;Le echan agua con cubeta;13.703;13.604;10.924;2.645;16;19;90;9
14 Jalisco;015 Autlán de Navarro;Disponen de excusado;No se le puede echar agua;154;112;12;93;7;0;42;0
14 Jalisco;015 Autlán de Navarro;Disponen de excusado;No especificado;194;109;109;0;0;0;72;13
14 Jalisco;015 Autlán de Navarro;No disponen de excusado;Total;809;402;153;234;12;3;358;49
14 Jalisco;015 Autlán de Navarro;No especificado;Total;115;41;28;13;0;0;5;69
14 Jalisco;016 Ayotlán;Total;Total;38.229;36.708;34.683;935;449;641;1.385;136
14 Jalisco;016 Ayotlán;Disponen de excusado;Total;36.712;36.262;34.288;901;448;625;408;42
