INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Ocupantes de viviendas particulares habitadas por municipio, disponibilidad de excusado;;;;;;;;;;;Vivienda 12
y admisión de agua según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Disponibilidad de excusado;Admisión de agua;Ocupantes de viviendas particulares1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;029 Cuquío;Disponen de excusado;Le echan agua con cubeta;6.805;6.595;2.744;3.628;151;72;199;11
14 Jalisco;029 Cuquío;Disponen de excusado;No se le puede echar agua;99;45;4;41;0;0;46;8
14 Jalisco;029 Cuquío;Disponen de excusado;No especificado;286;146;58;79;9;0;131;9
14 Jalisco;029 Cuquío;No disponen de excusado;Total;1.304;199;39;138;15;7;921;184
14 Jalisco;029 Cuquío;No especificado;Total;58;9;4;5;0;0;4;45
14 Jalisco;033 Degollado;Total;Total;21.114;19.237;15.013;2.398;1.184;642;1.747;130
14 Jalisco;033 Degollado;Disponen de excusado;Total;20.088;19.032;14.884;2.372;1.157;619;1.013;43
14 Jalisco;033 Degollado;Disponen de excusado;Tiene descarga directa de agua;13.920;13.893;11.331;1.401;769;392;0;27
14 Jalisco;033 Degollado;Disponen de excusado;Le echan agua con cubeta;5.557;5.084;3.519;954;385;226;465;8
14 Jalisco;033 Degollado;Disponen de excusado;No se le puede echar agua;70;26;8;14;3;1;44;0
14 Jalisco;033 Degollado;Disponen de excusado;No especificado;541;29;26;3;0;0;504;8
14 Jalisco;033 Degollado;No disponen de excusado;Total;980;195;119;26;27;23;734;51
14 Jalisco;033 Degollado;No especificado;Total;46;10;10;0;0;0;0;36
14 Jalisco;034 Ejutla;Total;Total;2.037;1.994;1.837;126;0;31;39;4
14 Jalisco;034 Ejutla;Disponen de excusado;Total;1.990;1.979;1.825;123;0;31;7;4
14 Jalisco;034 Ejutla;Disponen de excusado;Tiene descarga directa de agua;1.739;1.735;1.643;63;0;29;0;4
14 Jalisco;034 Ejutla;Disponen de excusado;Le echan agua con cubeta;237;237;179;56;0;2;0;0
14 Jalisco;034 Ejutla;Disponen de excusado;No se le puede echar agua;5;4;0;4;0;0;1;0
14 Jalisco;034 Ejutla;Disponen de excusado;No especificado;9;3;3;0;0;0;6;0
14 Jalisco;034 Ejutla;No disponen de excusado;Total;47;15;12;3;0;0;32;0
14 Jalisco;009 El Arenal;Total;Total;17.242;17.008;15.648;1.324;3;33;119;115
14 Jalisco;009 El Arenal;Disponen de excusado;Total;17.028;16.926;15.605;1.288;3;30;44;58
14 Jalisco;009 El Arenal;Disponen de excusado;Tiene descarga directa de agua;12.852;12.815;11.968;825;0;22;0;37
14 Jalisco;009 El Arenal;Disponen de excusado;Le echan agua con cubeta;4.099;4.073;3.606;456;3;8;16;10
14 Jalisco;009 El Arenal;Disponen de excusado;No se le puede echar agua;10;10;3;7;0;0;0;0
14 Jalisco;009 El Arenal;Disponen de excusado;No especificado;67;28;28;0;0;0;28;11
14 Jalisco;009 El Arenal;No disponen de excusado;Total;145;71;32;36;0;3;74;0
14 Jalisco;009 El Arenal;No especificado;Total;69;11;11;0;0;0;1;57
14 Jalisco;037 El Grullo;Total;Total;23.510;23.326;22.137;1.174;8;7;140;44
14 Jalisco;037 El Grullo;Disponen de excusado;Total;23.247;23.202;22.034;1.153;8;7;27;18
14 Jalisco;037 El Grullo;Disponen de excusado;Tiene descarga directa de agua;18.001;17.983;17.727;254;0;2;0;18
14 Jalisco;037 El Grullo;Disponen de excusado;Le echan agua con cubeta;5.204;5.179;4.282;884;8;5;25;0
14 Jalisco;037 El Grullo;Disponen de excusado;No se le puede echar agua;15;14;7;7;0;0;1;0
14 Jalisco;037 El Grullo;Disponen de excusado;No especificado;27;26;18;8;0;0;1;0
14 Jalisco;037 El Grullo;No disponen de excusado;Total;245;122;101;21;0;0;113;10
14 Jalisco;037 El Grullo;No especificado;Total;18;2;2;0;0;0;0;16
14 Jalisco;054 El Limón;Total;Total;5.461;5.362;4.965;381;10;6;94;5
14 Jalisco;054 El Limón;Disponen de excusado;Total;5.389;5.354;4.958;380;10;6;30;5
14 Jalisco;054 El Limón;Disponen de excusado;Tiene descarga directa de agua;4.285;4.285;4.075;202;6;2;0;0
14 Jalisco;054 El Limón;Disponen de excusado;Le echan agua con cubeta;1.089;1.067;882;177;4;4;17;5
14 Jalisco;054 El Limón;Disponen de excusado;No se le puede echar agua;6;1;0;1;0;0;5;0
14 Jalisco;054 El Limón;Disponen de excusado;No especificado;9;1;1;0;0;0;8;0
14 Jalisco;054 El Limón;No disponen de excusado;Total;72;8;7;1;0;0;64;0
14 Jalisco;070 El Salto;Total;Total;137.475;134.311;107.836;25.658;444;373;2.435;729
14 Jalisco;070 El Salto;Disponen de excusado;Total;135.445;133.529;107.657;25.065;434;373;1.710;206
14 Jalisco;070 El Salto;Disponen de excusado;Tiene descarga directa de agua;83.597;83.484;77.759;5.449;87;189;0;113
14 Jalisco;070 El Salto;Disponen de excusado;Le echan agua con cubeta;49.682;48.695;29.611;18.554;346;184;924;63
14 Jalisco;070 El Salto;Disponen de excusado;No se le puede echar agua;1.246;1.029;69;959;1;0;196;21
14 Jalisco;070 El Salto;Disponen de excusado;No especificado;920;321;218;103;0;0;590;9
14 Jalisco;070 El Salto;No disponen de excusado;Total;1.398;640;85;545;10;0;708;50
14 Jalisco;070 El Salto;No especificado;Total;632;142;94;48;0;0;17;473
14 Jalisco;035 Encarnación de Díaz;Total;Total;51.278;48.629;43.161;3.194;1.118;1.156;2.419;230
14 Jalisco;035 Encarnación de Díaz;Disponen de excusado;Total;48.831;48.221;42.993;2.980;1.099;1.149;564;46
14 Jalisco;035 Encarnación de Díaz;Disponen de excusado;Tiene descarga directa de agua;41.971;41.942;38.485;1.784;811;862;0;29
14 Jalisco;035 Encarnación de Díaz;Disponen de excusado;Le echan agua con cubeta;5.949;5.754;4.177;1.006;284;287;190;5
14 Jalisco;035 Encarnación de Díaz;Disponen de excusado;No se le puede echar agua;470;256;81;171;4;0;214;0
14 Jalisco;035 Encarnación de Díaz;Disponen de excusado;No especificado;441;269;250;19;0;0;160;12
14 Jalisco;035 Encarnación de Díaz;No disponen de excusado;Total;2.325;373;144;209;13;7;1.843;109
14 Jalisco;035 Encarnación de Díaz;No especificado;Total;122;35;24;5;6;0;12;75
14 Jalisco;036 Etzatlán;Total;Total;18.543;18.201;17.293;812;55;41;243;99
14 Jalisco;036 Etzatlán;Disponen de excusado;Total;18.272;18.126;17.249;781;55;41;89;57
14 Jalisco;036 Etzatlán;Disponen de excusado;Tiene descarga directa de agua;13.932;13.883;13.469;341;46;27;0;49
14 Jalisco;036 Etzatlán;Disponen de excusado;Le echan agua con cubeta;4.210;4.158;3.710;425;9;14;52;0
14 Jalisco;036 Etzatlán;Disponen de excusado;No se le puede echar agua;36;20;5;15;0;0;16;0
14 Jalisco;036 Etzatlán;Disponen de excusado;No especificado;94;65;65;0;0;0;21;8
14 Jalisco;036 Etzatlán;No disponen de excusado;Total;232;68;37;31;0;0;154;10
14 Jalisco;036 Etzatlán;No especificado;Total;39;7;7;0;0;0;0;32
14 Jalisco;079 Gómez Farías;Total;Total;13.909;13.520;12.109;1.084;127;200;293;96
14 Jalisco;079 Gómez Farías;Disponen de excusado;Total;13.618;13.375;12.052;1.001;124;198;216;27
14 Jalisco;079 Gómez Farías;Disponen de excusado;Tiene descarga directa de agua;8.945;8.927;8.551;225;50;101;0;18
14 Jalisco;079 Gómez Farías;Disponen de excusado;Le echan agua con cubeta;4.189;4.130;3.459;500;74;97;54;5
14 Jalisco;079 Gómez Farías;Disponen de excusado;No se le puede echar agua;441;303;27;276;0;0;138;0
14 Jalisco;079 Gómez Farías;Disponen de excusado;No especificado;43;15;15;0;0;0;24;4
14 Jalisco;079 Gómez Farías;No disponen de excusado;Total;200;123;43;77;3;0;77;0
14 Jalisco;079 Gómez Farías;No especificado;Total;91;22;14;6;0;2;0;69
14 Jalisco;038 Guachinango;Total;Total;4.314;3.762;2.778;854;92;38;523;29
14 Jalisco;038 Guachinango;Disponen de excusado;Total;3.774;3.711;2.750;837;89;35;54;9
14 Jalisco;038 Guachinango;Disponen de excusado;Tiene descarga directa de agua;2.372;2.372;1.942;363;46;21;0;0
14 Jalisco;038 Guachinango;Disponen de excusado;Le echan agua con cubeta;1.339;1.310;806;447;43;14;20;9
14 Jalisco;038 Guachinango;Disponen de excusado;No se le puede echar agua;35;18;0;18;0;0;17;0
14 Jalisco;038 Guachinango;Disponen de excusado;No especificado;28;11;2;9;0;0;17;0
14 Jalisco;038 Guachinango;No disponen de excusado;Total;531;44;21;17;3;3;467;20
14 Jalisco;038 Guachinango;No especificado;Total;9;7;7;0;0;0;2;0
14 Jalisco;039 Guadalajara;Total;Total;1.464.260;1.456.410;1.453.779;964;1.211;456;957;6.893
14 Jalisco;039 Guadalajara;Disponen de excusado;Total;1.458.017;1.454.733;1.452.188;914;1.181;450;595;2.689
14 Jalisco;039 Guadalajara;Disponen de excusado;Tiene descarga directa de agua;1.352.251;1.349.988;1.348.866;381;492;249;0;2.263
14 Jalisco;039 Guadalajara;Disponen de excusado;Le echan agua con cubeta;94.364;93.935;92.579;476;679;201;289;140
14 Jalisco;039 Guadalajara;Disponen de excusado;No se le puede echar agua;291;250;187;53;10;0;36;5
14 Jalisco;039 Guadalajara;Disponen de excusado;No especificado;11.111;10.560;10.556;4;0;0;270;281
14 Jalisco;039 Guadalajara;No disponen de excusado;Total;918;513;446;50;11;6;350;55
14 Jalisco;039 Guadalajara;No especificado;Total;5.325;1.164;1.145;0;19;0;12;4.149
14 Jalisco;040 Hostotipaquillo;Total;Total;9.576;8.721;6.878;819;584;440;776;79
14 Jalisco;040 Hostotipaquillo;Disponen de excusado;Total;8.756;8.592;6.823;807;539;423;125;39
14 Jalisco;040 Hostotipaquillo;Disponen de excusado;Tiene descarga directa de agua;4.604;4.577;3.983;149;230;215;0;27
14 Jalisco;040 Hostotipaquillo;Disponen de excusado;Le echan agua con cubeta;4.110;4.010;2.839;654;309;208;93;7
14 Jalisco;040 Hostotipaquillo;Disponen de excusado;No se le puede echar agua;14;5;1;4;0;0;9;0
14 Jalisco;040 Hostotipaquillo;Disponen de excusado;No especificado;28;0;0;0;0;0;23;5
14 Jalisco;040 Hostotipaquillo;No disponen de excusado;Total;814;129;55;12;45;17;651;34
14 Jalisco;040 Hostotipaquillo;No especificado;Total;6;0;0;0;0;0;0;6
14 Jalisco;041 Huejúcar;Total;Total;6.080;5.741;3.889;1.781;57;14;327;12
14 Jalisco;041 Huejúcar;Disponen de excusado;Total;5.762;5.694;3.883;1.744;57;10;56;12
14 Jalisco;041 Huejúcar;Disponen de excusado;Tiene descarga directa de agua;5.117;5.117;3.635;1.436;43;3;0;0
14 Jalisco;041 Huejúcar;Disponen de excusado;Le echan agua con cubeta;569;557;236;300;14;7;12;0
14 Jalisco;041 Huejúcar;Disponen de excusado;No se le puede echar agua;18;4;0;4;0;0;14;0
14 Jalisco;041 Huejúcar;Disponen de excusado;No especificado;58;16;12;4;0;0;30;12
14 Jalisco;041 Huejúcar;No disponen de excusado;Total;318;47;6;37;0;4;271;0
14 Jalisco;042 Huejuquilla el Alto;Total;Total;8.761;7.044;5.732;1.272;20;20;1.624;93
14 Jalisco;042 Huejuquilla el Alto;Disponen de excusado;Total;7.086;6.972;5.677;1.259;20;16;108;6
14 Jalisco;042 Huejuquilla el Alto;Disponen de excusado;Tiene descarga directa de agua;4.669;4.665;4.110;553;0;2;0;4
14 Jalisco;042 Huejuquilla el Alto;Disponen de excusado;Le echan agua con cubeta;2.318;2.279;1.545;700;20;14;37;2
14 Jalisco;042 Huejuquilla el Alto;Disponen de excusado;No se le puede echar agua;41;14;8;6;0;0;27;0
14 Jalisco;042 Huejuquilla el Alto;Disponen de excusado;No especificado;58;14;14;0;0;0;44;0
14 Jalisco;042 Huejuquilla el Alto;No disponen de excusado;Total;1.642;63;46;13;0;4;1.507;72
14 Jalisco;042 Huejuquilla el Alto;No especificado;Total;33;9;9;0;0;0;9;15
14 Jalisco;044 Ixtlahuacán de los Membrillos;Total;Total;40.922;40.330;36.899;3.190;124;117;390;202
14 Jalisco;044 Ixtlahuacán de los Membrillos;Disponen de excusado;Total;40.280;40.060;36.717;3.127;111;105;170;50
14 Jalisco;044 Ixtlahuacán de los Membrillos;Disponen de excusado;Tiene descarga directa de agua;32.831;32.804;30.849;1.840;72;43;0;27
14 Jalisco;044 Ixtlahuacán de los Membrillos;Disponen de excusado;Le echan agua con cubeta;7.244;7.124;5.803;1.223;36;62;108;12
14 Jalisco;044 Ixtlahuacán de los Membrillos;Disponen de excusado;No se le puede echar agua;82;67;4;63;0;0;10;5
14 Jalisco;044 Ixtlahuacán de los Membrillos;Disponen de excusado;No especificado;123;65;61;1;3;0;52;6
14 Jalisco;044 Ixtlahuacán de los Membrillos;No disponen de excusado;Total;440;201;122;54;13;12;215;24
14 Jalisco;044 Ixtlahuacán de los Membrillos;No especificado;Total;202;69;60;9;0;0;5;128
14 Jalisco;045 Ixtlahuacán del Río;Total;Total;18.970;17.968;12.028;5.187;543;210;789;213
14 Jalisco;045 Ixtlahuacán del Río;Disponen de excusado;Total;17.993;17.822;11.999;5.097;521;205;163;8
14 Jalisco;045 Ixtlahuacán del Río;Disponen de excusado;Tiene descarga directa de agua;12.153;12.145;9.323;2.501;207;114;0;8
14 Jalisco;045 Ixtlahuacán del Río;Disponen de excusado;Le echan agua con cubeta;5.749;5.662;2.676;2.581;314;91;87;0
14 Jalisco;045 Ixtlahuacán del Río;Disponen de excusado;No se le puede echar agua;43;9;0;9;0;0;34;0
14 Jalisco;045 Ixtlahuacán del Río;Disponen de excusado;No especificado;48;6;0;6;0;0;42;0
14 Jalisco;045 Ixtlahuacán del Río;No disponen de excusado;Total;940;146;29;90;22;5;621;173
14 Jalisco;045 Ixtlahuacán del Río;No especificado;Total;37;0;0;0;0;0;5;32
14 Jalisco;046 Jalostotitlán;Total;Total;31.783;30.596;26.275;2.148;1.608;565;1.076;111
14 Jalisco;046 Jalostotitlán;Disponen de excusado;Total;30.674;30.448;26.214;2.099;1.580;555;150;76
14 Jalisco;046 Jalostotitlán;Disponen de excusado;Tiene descarga directa de agua;26.834;26.797;23.612;1.493;1.238;454;0;37
14 Jalisco;046 Jalostotitlán;Disponen de excusado;Le echan agua con cubeta;3.643;3.597;2.597;568;337;95;43;3
14 Jalisco;046 Jalostotitlán;Disponen de excusado;No se le puede echar agua;88;38;5;33;0;0;50;0
14 Jalisco;046 Jalostotitlán;Disponen de excusado;No especificado;109;16;0;5;5;6;57;36
14 Jalisco;046 Jalostotitlán;No disponen de excusado;Total;1.081;136;49;49;28;10;926;19
14 Jalisco;046 Jalostotitlán;No especificado;Total;28;12;12;0;0;0;0;16
14 Jalisco;047 Jamay;Total;Total;22.803;22.477;22.057;369;49;2;288;38
14 Jalisco;047 Jamay;Disponen de excusado;Total;22.546;22.340;21.952;344;42;2;184;22
14 Jalisco;047 Jamay;Disponen de excusado;Tiene descarga directa de agua;16.830;16.811;16.649;151;11;0;0;19
14 Jalisco;047 Jamay;Disponen de excusado;Le echan agua con cubeta;5.605;5.486;5.280;173;31;2;118;1
14 Jalisco;047 Jamay;Disponen de excusado;No se le puede echar agua;42;24;4;20;0;0;18;0
14 Jalisco;047 Jamay;Disponen de excusado;No especificado;69;19;19;0;0;0;48;2
14 Jalisco;047 Jamay;No disponen de excusado;Total;246;137;105;25;7;0;104;5
14 Jalisco;047 Jamay;No especificado;Total;11;0;0;0;0;0;0;11
14 Jalisco;048 Jesús María;Total;Total;18.604;17.422;11.954;5.065;284;119;1.124;58
14 Jalisco;048 Jesús María;Disponen de excusado;Total;17.491;17.264;11.921;4.954;280;109;207;20
14 Jalisco;048 Jesús María;Disponen de excusado;Tiene descarga directa de agua;14.165;14.154;10.347;3.554;158;95;0;11
14 Jalisco;048 Jesús María;Disponen de excusado;Le echan agua con cubeta;3.181;3.053;1.570;1.356;113;14;126;2
14 Jalisco;048 Jesús María;Disponen de excusado;No se le puede echar agua;53;41;0;32;9;0;12;0
14 Jalisco;048 Jesús María;Disponen de excusado;No especificado;92;16;4;12;0;0;69;7
14 Jalisco;048 Jesús María;No disponen de excusado;Total;1.097;157;32;111;4;10;917;23
14 Jalisco;048 Jesús María;No especificado;Total;16;1;1;0;0;0;0;15
14 Jalisco;049 Jilotlán de los Dolores;Total;Total;9.501;7.801;4.874;1.825;952;150;1.644;56
14 Jalisco;049 Jilotlán de los Dolores;Disponen de excusado;Total;7.851;7.729;4.848;1.799;934;148;119;3
14 Jalisco;049 Jilotlán de los Dolores;Disponen de excusado;Tiene descarga directa de agua;3.191;3.188;2.224;614;322;28;0;3
14 Jalisco;049 Jilotlán de los Dolores;Disponen de excusado;Le echan agua con cubeta;4.581;4.523;2.623;1.168;612;120;58;0
14 Jalisco;049 Jilotlán de los Dolores;Disponen de excusado;No se le puede echar agua;61;17;0;17;0;0;44;0
14 Jalisco;049 Jilotlán de los Dolores;Disponen de excusado;No especificado;18;1;1;0;0;0;17;0
14 Jalisco;049 Jilotlán de los Dolores;No disponen de excusado;Total;1.644;68;24;26;18;0;1.525;51
14 Jalisco;049 Jilotlán de los Dolores;No especificado;Total;6;4;2;0;0;2;0;2
14 Jalisco;050 Jocotepec;Total;Total;41.687;40.832;37.076;3.634;39;83;741;114
14 Jalisco;050 Jocotepec;Disponen de excusado;Total;40.988;40.608;36.920;3.566;39;83;325;55
14 Jalisco;050 Jocotepec;Disponen de excusado;Tiene descarga directa de agua;27.481;27.431;25.590;1.771;16;54;0;50
14 Jalisco;050 Jocotepec;Disponen de excusado;Le echan agua con cubeta;13.233;13.026;11.208;1.767;22;29;206;1
14 Jalisco;050 Jocotepec;Disponen de excusado;No se le puede echar agua;78;44;27;16;1;0;34;0
14 Jalisco;050 Jocotepec;Disponen de excusado;No especificado;196;107;95;12;0;0;85;4
14 Jalisco;050 Jocotepec;No disponen de excusado;Total;609;178;132;46;0;0;413;18
14 Jalisco;050 Jocotepec;No especificado;Total;90;46;24;22;0;0;3;41
14 Jalisco;051 Juanacatlán;Total;Total;13.182;12.792;10.376;2.261;48;107;359;31
14 Jalisco;051 Juanacatlán;Disponen de excusado;Total;12.975;12.731;10.339;2.237;48;107;232;12
14 Jalisco;051 Juanacatlán;Disponen de excusado;Tiene descarga directa de agua;9.054;9.054;7.675;1.269;32;78;0;0
14 Jalisco;051 Juanacatlán;Disponen de excusado;Le echan agua con cubeta;3.669;3.580;2.613;922;16;29;77;12
14 Jalisco;051 Juanacatlán;Disponen de excusado;No se le puede echar agua;66;50;5;45;0;0;16;0
14 Jalisco;051 Juanacatlán;Disponen de excusado;No especificado;186;47;46;1;0;0;139;0
14 Jalisco;051 Juanacatlán;No disponen de excusado;Total;205;61;37;24;0;0;127;17
14 Jalisco;051 Juanacatlán;No especificado;Total;2;0;0;0;0;0;0;2
14 Jalisco;052 Juchitlán;Total;Total;5.489;5.244;4.552;536;118;38;209;36
14 Jalisco;052 Juchitlán;Disponen de excusado;Total;5.213;5.199;4.529;514;118;38;14;0
14 Jalisco;052 Juchitlán;Disponen de excusado;Tiene descarga directa de agua;3.544;3.544;3.313;173;37;21;0;0
14 Jalisco;052 Juchitlán;Disponen de excusado;Le echan agua con cubeta;1.640;1.626;1.206;322;81;17;14;0
14 Jalisco;052 Juchitlán;Disponen de excusado;No se le puede echar agua;5;5;5;0;0;0;0;0
14 Jalisco;052 Juchitlán;Disponen de excusado;No especificado;24;24;5;19;0;0;0;0
14 Jalisco;052 Juchitlán;No disponen de excusado;Total;270;45;23;22;0;0;195;30
14 Jalisco;052 Juchitlán;No especificado;Total;6;0;0;0;0;0;0;6
14 Jalisco;018 La Barca;Total;Total;64.000;63.196;61.714;1.221;133;128;697;107
14 Jalisco;018 La Barca;Disponen de excusado;Total;63.087;62.711;61.409;1.052;125;125;339;37
14 Jalisco;018 La Barca;Disponen de excusado;Tiene descarga directa de agua;47.094;47.080;46.519;442;69;50;0;14
14 Jalisco;018 La Barca;Disponen de excusado;Le echan agua con cubeta;15.612;15.395;14.770;494;56;75;194;23
14 Jalisco;018 La Barca;Disponen de excusado;No se le puede echar agua;203;138;34;104;0;0;65;0
14 Jalisco;018 La Barca;Disponen de excusado;No especificado;178;98;86;12;0;0;80;0
14 Jalisco;018 La Barca;No disponen de excusado;Total;830;448;273;164;8;3;352;30
14 Jalisco;018 La Barca;No especificado;Total;83;37;32;5;0;0;6;40
14 Jalisco;043 La Huerta;Total;Total;23.386;22.193;8.159;13.771;198;65;993;200
14 Jalisco;043 La Huerta;Disponen de excusado;Total;22.232;22.043;8.134;13.686;179;44;186;3
14 Jalisco;043 La Huerta;Disponen de excusado;Tiene descarga directa de agua;13.069;13.066;6.291;6.708;55;12;0;3
14 Jalisco;043 La Huerta;Disponen de excusado;Le echan agua con cubeta;9.054;8.932;1.843;6.933;124;32;122;0
14 Jalisco;043 La Huerta;Disponen de excusado;No se le puede echar agua;25;16;0;16;0;0;9;0
14 Jalisco;043 La Huerta;Disponen de excusado;No especificado;84;29;0;29;0;0;55;0
14 Jalisco;043 La Huerta;No disponen de excusado;Total;1.107;140;20;80;19;21;803;164
14 Jalisco;043 La Huerta;No especificado;Total;47;10;5;5;0;0;4;33
14 Jalisco;057 La Manzanilla de la Paz;Total;Total;3.753;3.684;2.776;150;260;498;69;0
14 Jalisco;057 La Manzanilla de la Paz;Disponen de excusado;Total;3.674;3.642;2.769;135;250;488;32;0
14 Jalisco;057 La Manzanilla de la Paz;Disponen de excusado;Tiene descarga directa de agua;2.630;2.630;2.138;44;102;346;0;0
14 Jalisco;057 La Manzanilla de la Paz;Disponen de excusado;Le echan agua con cubeta;1.019;1.008;629;89;148;142;11;0
14 Jalisco;057 La Manzanilla de la Paz;Disponen de excusado;No se le puede echar agua;3;2;0;2;0;0;1;0
14 Jalisco;057 La Manzanilla de la Paz;Disponen de excusado;No especificado;22;2;2;0;0;0;20;0
14 Jalisco;057 La Manzanilla de la Paz;No disponen de excusado;Total;79;42;7;15;10;10;37;0
14 Jalisco;053 Lagos de Moreno;Total;Total;153.139;140.837;125.181;11.473;2.681;1.502;11.523;779
14 Jalisco;053 Lagos de Moreno;Disponen de excusado;Total;142.904;139.226;124.389;10.841;2.590;1.406;3.489;189
14 Jalisco;053 Lagos de Moreno;Disponen de excusado;Tiene descarga directa de agua;114.662;114.549;106.917;4.913;1.853;866;0;113
14 Jalisco;053 Lagos de Moreno;Disponen de excusado;Le echan agua con cubeta;25.517;23.550;17.032;5.266;720;532;1.921;46
14 Jalisco;053 Lagos de Moreno;Disponen de excusado;No se le puede echar agua;1.296;665;55;585;17;8;610;21
14 Jalisco;053 Lagos de Moreno;Disponen de excusado;No especificado;1.429;462;385;77;0;0;958;9
14 Jalisco;053 Lagos de Moreno;No disponen de excusado;Total;9.764;1.504;695;622;91;96;8.016;244
14 Jalisco;053 Lagos de Moreno;No especificado;Total;471;107;97;10;0;0;18;346
14 Jalisco;055 Magdalena;Total;Total;21.189;20.663;20.184;388;43;48;438;88
14 Jalisco;055 Magdalena;Disponen de excusado;Total;20.908;20.584;20.114;379;43;48;282;42
14 Jalisco;055 Magdalena;Disponen de excusado;Tiene descarga directa de agua;13.750;13.737;13.648;59;15;15;0;13
14 Jalisco;055 Magdalena;Disponen de excusado;Le echan agua con cubeta;6.911;6.769;6.445;263;28;33;135;7
14 Jalisco;055 Magdalena;Disponen de excusado;No se le puede echar agua;91;60;10;50;0;0;30;1
14 Jalisco;055 Magdalena;Disponen de excusado;No especificado;156;18;11;7;0;0;117;21
14 Jalisco;055 Magdalena;No disponen de excusado;Total;224;65;56;9;0;0;156;3
14 Jalisco;055 Magdalena;No especificado;Total;57;14;14;0;0;0;0;43
14 Jalisco;058 Mascota;Total;Total;14.122;13.647;10.256;3.155;148;88;415;60
14 Jalisco;058 Mascota;Disponen de excusado;Total;13.542;13.497;10.170;3.132;118;77;40;5
14 Jalisco;058 Mascota;Disponen de excusado;Tiene descarga directa de agua;12.769;12.769;9.959;2.688;65;57;0;0
14 Jalisco;058 Mascota;Disponen de excusado;Le echan agua con cubeta;671;662;210;386;46;20;9;0
14 Jalisco;058 Mascota;Disponen de excusado;No se le puede echar agua;87;61;0;54;7;0;26;0
14 Jalisco;058 Mascota;Disponen de excusado;No especificado;15;5;1;4;0;0;5;5
14 Jalisco;058 Mascota;No disponen de excusado;Total;559;145;81;23;30;11;375;39
14 Jalisco;058 Mascota;No especificado;Total;21;5;5;0;0;0;0;16
14 Jalisco;059 Mazamitla;Total;Total;13.166;12.478;9.131;2.688;203;456;623;65
14 Jalisco;059 Mazamitla;Disponen de excusado;Total;12.548;12.311;9.066;2.616;199;430;223;14
14 Jalisco;059 Mazamitla;Disponen de excusado;Tiene descarga directa de agua;9.074;9.069;7.048;1.667;109;245;0;5
14 Jalisco;059 Mazamitla;Disponen de excusado;Le echan agua con cubeta;3.325;3.196;2.014;907;90;185;125;4
14 Jalisco;059 Mazamitla;Disponen de excusado;No se le puede echar agua;47;34;0;34;0;0;13;0
14 Jalisco;059 Mazamitla;Disponen de excusado;No especificado;102;12;4;8;0;0;85;5
14 Jalisco;059 Mazamitla;No disponen de excusado;Total;605;161;63;72;4;22;400;44
14 Jalisco;059 Mazamitla;No especificado;Total;13;6;2;0;0;4;0;7
14 Jalisco;060 Mexticacán;Total;Total;6.033;5.768;4.217;1.186;281;84;246;19
14 Jalisco;060 Mexticacán;Disponen de excusado;Total;5.772;5.710;4.201;1.150;275;84;55;7
14 Jalisco;060 Mexticacán;Disponen de excusado;Tiene descarga directa de agua;4.713;4.713;3.571;837;223;82;0;0
14 Jalisco;060 Mexticacán;Disponen de excusado;Le echan agua con cubeta;983;957;630;273;52;2;20;6
14 Jalisco;060 Mexticacán;Disponen de excusado;No se le puede echar agua;58;40;0;40;0;0;17;1
14 Jalisco;060 Mexticacán;Disponen de excusado;No especificado;18;0;0;0;0;0;18;0
14 Jalisco;060 Mexticacán;No disponen de excusado;Total;252;58;16;36;6;0;191;3
14 Jalisco;060 Mexticacán;No especificado;Total;9;0;0;0;0;0;0;9
14 Jalisco;061 Mezquitic;Total;Total;18.029;4.951;2.514;2.319;109;9;12.729;349
14 Jalisco;061 Mezquitic;Disponen de excusado;Total;5.847;4.843;2.502;2.245;89;7;952;52
14 Jalisco;061 Mezquitic;Disponen de excusado;Tiene descarga directa de agua;3.082;3.072;2.241;780;51;0;0;10
14 Jalisco;061 Mezquitic;Disponen de excusado;Le echan agua con cubeta;2.127;1.564;258;1.261;38;7;547;16
14 Jalisco;061 Mezquitic;Disponen de excusado;No se le puede echar agua;467;156;0;156;0;0;301;10
14 Jalisco;061 Mezquitic;Disponen de excusado;No especificado;171;51;3;48;0;0;104;16
14 Jalisco;061 Mezquitic;No disponen de excusado;Total;11.875;85;12;51;20;2;11.606;184
14 Jalisco;061 Mezquitic;No especificado;Total;307;23;0;23;0;0;171;113
14 Jalisco;062 Mixtlán;Total;Total;3.574;3.194;2.295;711;130;58;337;43
14 Jalisco;062 Mixtlán;Disponen de excusado;Total;3.234;3.171;2.290;706;117;58;56;7
14 Jalisco;062 Mixtlán;Disponen de excusado;Tiene descarga directa de agua;2.755;2.748;2.113;506;81;48;0;7
14 Jalisco;062 Mixtlán;Disponen de excusado;Le echan agua con cubeta;412;399;177;180;36;6;13;0
