INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;022 Cihuatlán;Total;Agua de pozo, río, lago, arroyo u otra;565;522;112;403;0;7;38;5
14 Jalisco;022 Cihuatlán;Total;No especificado;52;15;14;1;0;0;0;37
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Total;10.038;9.858;7.117;2.707;7;27;149;31
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;6.582;6.551;5.338;1.198;4;11;15;16
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2.679;2.616;1.589;1.016;2;9;57;6
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);63;58;20;38;0;0;5;0
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;101;70;30;39;1;0;29;2
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua de pipa;64;52;14;38;0;0;12;0
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;532;496;112;377;0;7;31;5
14 Jalisco;022 Cihuatlán;Disponen de energía eléctrica;No especificado;17;15;14;1;0;0;0;2
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Total;93;64;11;53;0;0;27;2
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;11;7;4;3;0;0;3;1
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;27;21;5;16;0;0;6;0
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;16;7;2;5;0;0;8;1
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Agua de pipa;7;4;0;4;0;0;3;0
14 Jalisco;022 Cihuatlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;32;25;0;25;0;0;7;0
14 Jalisco;022 Cihuatlán;No especificado;Total;47;12;7;5;0;0;0;35
14 Jalisco;022 Cihuatlán;No especificado;Agua entubada dentro de la vivienda;7;7;5;2;0;0;0;0
14 Jalisco;022 Cihuatlán;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;4;4;2;2;0;0;0;0
14 Jalisco;022 Cihuatlán;No especificado;Agua de pozo, río, lago, arroyo u otra;1;1;0;1;0;0;0;0
14 Jalisco;022 Cihuatlán;No especificado;No especificado;35;0;0;0;0;0;0;35
14 Jalisco;024 Cocula;Total;Total;6.809;6.548;6.182;292;21;53;227;34
14 Jalisco;024 Cocula;Total;Agua entubada dentro de la vivienda;5.469;5.376;5.183;144;15;34;77;16
14 Jalisco;024 Cocula;Total;Agua entubada fuera de la vivienda pero dentro del terreno;1.030;937;814;104;5;14;89;4
14 Jalisco;024 Cocula;Total;Agua entubada de llave pública (o hidrante);156;136;117;17;0;2;20;0
14 Jalisco;024 Cocula;Total;Agua entubada que acarrean de otra vivienda;62;34;26;8;0;0;27;1
14 Jalisco;024 Cocula;Total;Agua de pipa;29;28;24;4;0;0;1;0
14 Jalisco;024 Cocula;Total;Agua de pozo, río, lago, arroyo u otra;37;25;8;14;0;3;12;0
14 Jalisco;024 Cocula;Total;No especificado;26;12;10;1;1;0;1;13
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Total;6.739;6.512;6.159;282;20;51;206;21
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;5.447;5.359;5.168;143;14;34;72;16
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.010;924;808;99;5;12;82;4
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);153;135;116;17;0;2;18;0
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;55;32;26;6;0;0;22;1
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua de pipa;28;27;24;3;0;0;1;0
14 Jalisco;024 Cocula;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;35;24;8;13;0;3;11;0
14 Jalisco;024 Cocula;Disponen de energía eléctrica;No especificado;11;11;9;1;1;0;0;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Total;51;30;18;9;1;2;21;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;19;14;12;1;1;0;5;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;18;11;5;4;0;2;7;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);3;1;1;0;0;0;2;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;7;2;0;2;0;0;5;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;2;1;0;1;0;0;1;0
14 Jalisco;024 Cocula;No disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;024 Cocula;No especificado;Total;19;6;5;1;0;0;0;13
14 Jalisco;024 Cocula;No especificado;Agua entubada dentro de la vivienda;3;3;3;0;0;0;0;0
14 Jalisco;024 Cocula;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;2;2;1;1;0;0;0;0
14 Jalisco;024 Cocula;No especificado;No especificado;14;1;1;0;0;0;0;13
14 Jalisco;025 Colotlán;Total;Total;4.681;4.506;4.049;414;11;32;167;8
14 Jalisco;025 Colotlán;Total;Agua entubada dentro de la vivienda;4.438;4.329;3.950;347;10;22;103;6
14 Jalisco;025 Colotlán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;124;91;39;49;0;3;32;1
14 Jalisco;025 Colotlán;Total;Agua entubada de llave pública (o hidrante);26;23;20;3;0;0;3;0
14 Jalisco;025 Colotlán;Total;Agua entubada que acarrean de otra vivienda;24;14;12;1;0;1;10;0
14 Jalisco;025 Colotlán;Total;Agua de pipa;31;21;16;5;0;0;10;0
14 Jalisco;025 Colotlán;Total;Agua de pozo, río, lago, arroyo u otra;33;24;10;7;1;6;9;0
14 Jalisco;025 Colotlán;Total;No especificado;5;4;2;2;0;0;0;1
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Total;4.638;4.479;4.033;406;11;29;152;7
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;4.414;4.310;3.938;342;10;20;98;6
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;122;90;39;48;0;3;31;1
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);23;20;19;1;0;0;3;0
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;18;12;10;1;0;1;6;0
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua de pipa;31;21;16;5;0;0;10;0
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;26;22;9;7;1;5;4;0
14 Jalisco;025 Colotlán;Disponen de energía eléctrica;No especificado;4;4;2;2;0;0;0;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Total;40;25;14;8;0;3;15;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;22;17;10;5;0;2;5;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2;1;0;1;0;0;1;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);3;3;1;2;0;0;0;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;6;2;2;0;0;0;4;0
14 Jalisco;025 Colotlán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;7;2;1;0;0;1;5;0
14 Jalisco;025 Colotlán;No especificado;Total;3;2;2;0;0;0;0;1
14 Jalisco;025 Colotlán;No especificado;Agua entubada dentro de la vivienda;2;2;2;0;0;0;0;0
14 Jalisco;025 Colotlán;No especificado;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;026 Concepción de Buenos Aires;Total;Total;1.618;1.580;1.435;55;19;71;33;5
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua entubada dentro de la vivienda;1.551;1.530;1.415;35;15;65;19;2
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua entubada fuera de la vivienda pero dentro del terreno;39;33;17;9;2;5;6;0
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua entubada de llave pública (o hidrante);5;5;1;4;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua entubada que acarrean de otra vivienda;9;4;2;1;1;0;5;0
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua de pipa;2;2;0;2;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;Total;Agua de pozo, río, lago, arroyo u otra;11;6;0;4;1;1;3;2
14 Jalisco;026 Concepción de Buenos Aires;Total;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Total;1.597;1.564;1.422;53;18;71;30;3
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;1.536;1.516;1.402;34;15;65;19;1
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;39;33;17;9;2;5;6;0
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);5;5;1;4;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;6;3;2;1;0;0;3;0
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;10;6;0;4;1;1;2;2
14 Jalisco;026 Concepción de Buenos Aires;No disponen de energía eléctrica;Total;19;15;12;2;1;0;3;1
14 Jalisco;026 Concepción de Buenos Aires;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;14;13;12;1;0;0;0;1
14 Jalisco;026 Concepción de Buenos Aires;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;3;1;0;0;1;0;2;0
14 Jalisco;026 Concepción de Buenos Aires;No disponen de energía eléctrica;Agua de pipa;1;1;0;1;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1;0;0;0;0;0;1;0
14 Jalisco;026 Concepción de Buenos Aires;No especificado;Total;2;1;1;0;0;0;0;1
14 Jalisco;026 Concepción de Buenos Aires;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;026 Concepción de Buenos Aires;No especificado;No especificado;1;0;0;0;0;0;0;1
14 Jalisco;027 Cuautitlán de García Barragán;Total;Total;4.237;3.099;1.172;1.667;253;7;1.102;36
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua entubada dentro de la vivienda;2.404;2.058;1.028;834;192;4;337;9
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua entubada fuera de la vivienda pero dentro del terreno;1.327;841;134;695;11;1;473;13
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua entubada de llave pública (o hidrante);54;39;1;36;1;1;10;5
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua entubada que acarrean de otra vivienda;81;43;2;30;11;0;35;3
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua de pipa;5;3;1;1;1;0;2;0
14 Jalisco;027 Cuautitlán de García Barragán;Total;Agua de pozo, río, lago, arroyo u otra;356;113;5;70;37;1;240;3
14 Jalisco;027 Cuautitlán de García Barragán;Total;No especificado;10;2;1;1;0;0;5;3
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Total;3.676;2.920;1.169;1.526;218;7;737;19
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;2.251;1.996;1.025;792;175;4;249;6
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;1.152;776;134;630;11;1;368;8
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);47;37;1;34;1;1;7;3
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;41;26;2;21;3;0;14;1
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua de pipa;4;3;1;1;1;0;1;0
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;177;81;5;48;27;1;95;1
14 Jalisco;027 Cuautitlán de García Barragán;Disponen de energía eléctrica;No especificado;4;1;1;0;0;0;3;0
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Total;554;176;3;138;35;0;364;14
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;152;61;3;41;17;0;88;3
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;173;64;0;64;0;0;104;5
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);6;1;0;1;0;0;3;2
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;40;17;0;9;8;0;21;2
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua de pipa;1;0;0;0;0;0;1;0
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;179;32;0;22;10;0;145;2
14 Jalisco;027 Cuautitlán de García Barragán;No disponen de energía eléctrica;No especificado;3;1;0;1;0;0;2;0
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;Total;7;3;0;3;0;0;1;3
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;Agua entubada dentro de la vivienda;1;1;0;1;0;0;0;0
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;2;1;0;1;0;0;1;0
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;Agua entubada de llave pública (o hidrante);1;1;0;1;0;0;0;0
14 Jalisco;027 Cuautitlán de García Barragán;No especificado;No especificado;3;0;0;0;0;0;0;3
14 Jalisco;028 Cuautla;Total;Total;584;527;379;138;0;10;56;1
14 Jalisco;028 Cuautla;Total;Agua entubada dentro de la vivienda;447;434;350;75;0;9;13;0
14 Jalisco;028 Cuautla;Total;Agua entubada fuera de la vivienda pero dentro del terreno;103;83;28;54;0;1;20;0
14 Jalisco;028 Cuautla;Total;Agua entubada que acarrean de otra vivienda;3;0;0;0;0;0;3;0
14 Jalisco;028 Cuautla;Total;Agua de pozo, río, lago, arroyo u otra;31;10;1;9;0;0;20;1
14 Jalisco;028 Cuautla;Disponen de energía eléctrica;Total;557;520;378;132;0;10;37;0
14 Jalisco;028 Cuautla;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;441;430;349;72;0;9;11;0
14 Jalisco;028 Cuautla;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;98;82;28;53;0;1;16;0
14 Jalisco;028 Cuautla;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;1;0;0;0;0;0;1;0
14 Jalisco;028 Cuautla;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;17;8;1;7;0;0;9;0
14 Jalisco;028 Cuautla;No disponen de energía eléctrica;Total;27;7;1;6;0;0;19;1
14 Jalisco;028 Cuautla;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;6;4;1;3;0;0;2;0
14 Jalisco;028 Cuautla;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;5;1;0;1;0;0;4;0
14 Jalisco;028 Cuautla;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;2;0;0;0;0;0;2;0
14 Jalisco;028 Cuautla;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;14;2;0;2;0;0;11;1
14 Jalisco;029 Cuquío;Total;Total;4.451;4.030;2.310;1.583;91;46;350;71
14 Jalisco;029 Cuquío;Total;Agua entubada dentro de la vivienda;2.011;1.970;1.610;336;16;8;32;9
14 Jalisco;029 Cuquío;Total;Agua entubada fuera de la vivienda pero dentro del terreno;278;235;72;155;7;1;38;5
14 Jalisco;029 Cuquío;Total;Agua entubada de llave pública (o hidrante);218;199;24;174;0;1;18;1
14 Jalisco;029 Cuquío;Total;Agua entubada que acarrean de otra vivienda;80;66;24;38;3;1;14;0
14 Jalisco;029 Cuquío;Total;Agua de pipa;79;63;15;47;0;1;16;0
14 Jalisco;029 Cuquío;Total;Agua de pozo, río, lago, arroyo u otra;1.773;1.492;560;833;65;34;230;51
14 Jalisco;029 Cuquío;Total;No especificado;12;5;5;0;0;0;2;5
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Total;4.389;4.013;2.305;1.575;88;45;309;67
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;2.005;1.965;1.607;336;15;7;31;9
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;276;234;72;154;7;1;37;5
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);217;199;24;174;0;1;17;1
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;75;63;23;37;2;1;12;0
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua de pipa;77;62;15;46;0;1;15;0
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;1.730;1.485;559;828;64;34;196;49
14 Jalisco;029 Cuquío;Disponen de energía eléctrica;No especificado;9;5;5;0;0;0;1;3
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Total;58;15;5;6;3;1;41;2
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;6;5;3;0;1;1;1;0
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;2;1;0;1;0;0;1;0
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);1;0;0;0;0;0;1;0
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;5;3;1;1;1;0;2;0
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua de pipa;2;1;0;1;0;0;1;0
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;41;5;1;3;1;0;34;2
14 Jalisco;029 Cuquío;No disponen de energía eléctrica;No especificado;1;0;0;0;0;0;1;0
14 Jalisco;029 Cuquío;No especificado;Total;4;2;0;2;0;0;0;2
14 Jalisco;029 Cuquío;No especificado;Agua de pozo, río, lago, arroyo u otra;2;2;0;2;0;0;0;0
14 Jalisco;029 Cuquío;No especificado;No especificado;2;0;0;0;0;0;0;2
14 Jalisco;033 Degollado;Total;Total;5.259;4.779;3.752;596;290;141;447;33
14 Jalisco;033 Degollado;Total;Agua entubada dentro de la vivienda;4.105;3.904;3.295;353;169;87;193;8
14 Jalisco;033 Degollado;Total;Agua entubada fuera de la vivienda pero dentro del terreno;894;711;376;200;86;49;174;9
14 Jalisco;033 Degollado;Total;Agua entubada de llave pública (o hidrante);25;24;5;4;15;0;1;0
14 Jalisco;033 Degollado;Total;Agua entubada que acarrean de otra vivienda;53;36;24;9;3;0;14;3
14 Jalisco;033 Degollado;Total;Agua de pipa;77;56;34;9;11;2;20;1
14 Jalisco;033 Degollado;Total;Agua de pozo, río, lago, arroyo u otra;94;46;17;20;6;3;45;3
14 Jalisco;033 Degollado;Total;No especificado;11;2;1;1;0;0;0;9
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Total;5.203;4.761;3.739;593;288;141;418;24
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;4.093;3.896;3.290;352;167;87;189;8
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;881;705;371;199;86;49;167;9
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);25;24;5;4;15;0;1;0
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;47;33;21;9;3;0;11;3
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua de pipa;73;55;34;8;11;2;17;1
14 Jalisco;033 Degollado;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;81;46;17;20;6;3;33;2
14 Jalisco;033 Degollado;Disponen de energía eléctrica;No especificado;3;2;1;1;0;0;0;1
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Total;45;16;11;3;2;0;28;1
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;11;7;4;1;2;0;4;0
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;11;5;4;1;0;0;6;0
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;6;3;3;0;0;0;3;0
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Agua de pipa;4;1;0;1;0;0;3;0
14 Jalisco;033 Degollado;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;13;0;0;0;0;0;12;1
14 Jalisco;033 Degollado;No especificado;Total;11;2;2;0;0;0;1;8
14 Jalisco;033 Degollado;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;033 Degollado;No especificado;Agua entubada fuera de la vivienda pero dentro del terreno;2;1;1;0;0;0;1;0
14 Jalisco;033 Degollado;No especificado;No especificado;8;0;0;0;0;0;0;8
14 Jalisco;034 Ejutla;Total;Total;609;586;538;40;0;8;22;1
14 Jalisco;034 Ejutla;Total;Agua entubada dentro de la vivienda;541;536;505;23;0;8;4;1
14 Jalisco;034 Ejutla;Total;Agua entubada fuera de la vivienda pero dentro del terreno;54;43;27;16;0;0;11;0
14 Jalisco;034 Ejutla;Total;Agua entubada de llave pública (o hidrante);2;2;2;0;0;0;0;0
14 Jalisco;034 Ejutla;Total;Agua entubada que acarrean de otra vivienda;4;2;1;1;0;0;2;0
14 Jalisco;034 Ejutla;Total;Agua de pozo, río, lago, arroyo u otra;8;3;3;0;0;0;5;0
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Total;588;577;534;35;0;8;10;1
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;534;531;502;21;0;8;2;1
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;47;40;27;13;0;0;7;0
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);2;2;2;0;0;0;0;0
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;2;1;0;1;0;0;1;0
14 Jalisco;034 Ejutla;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;3;3;3;0;0;0;0;0
14 Jalisco;034 Ejutla;No disponen de energía eléctrica;Total;19;7;3;4;0;0;12;0
14 Jalisco;034 Ejutla;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;5;3;2;1;0;0;2;0
14 Jalisco;034 Ejutla;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;7;3;0;3;0;0;4;0
14 Jalisco;034 Ejutla;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;2;1;1;0;0;0;1;0
14 Jalisco;034 Ejutla;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;5;0;0;0;0;0;5;0
14 Jalisco;034 Ejutla;No especificado;Total;2;2;1;1;0;0;0;0
14 Jalisco;034 Ejutla;No especificado;Agua entubada dentro de la vivienda;2;2;1;1;0;0;0;0
14 Jalisco;009 El Arenal;Total;Total;4.128;4.061;3.724;327;1;9;41;26
14 Jalisco;009 El Arenal;Total;Agua entubada dentro de la vivienda;3.586;3.567;3.360;199;0;8;10;9
14 Jalisco;009 El Arenal;Total;Agua entubada fuera de la vivienda pero dentro del terreno;249;238;189;48;1;0;11;0
14 Jalisco;009 El Arenal;Total;Agua entubada de llave pública (o hidrante);22;22;19;3;0;0;0;0
14 Jalisco;009 El Arenal;Total;Agua entubada que acarrean de otra vivienda;70;62;43;19;0;0;8;0
14 Jalisco;009 El Arenal;Total;Agua de pipa;25;20;12;8;0;0;5;0
14 Jalisco;009 El Arenal;Total;Agua de pozo, río, lago, arroyo u otra;155;147;97;49;0;1;7;1
14 Jalisco;009 El Arenal;Total;No especificado;21;5;4;1;0;0;0;16
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Total;4.049;4.011;3.697;304;1;9;25;13
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua entubada dentro de la vivienda;3.561;3.544;3.342;194;0;8;8;9
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;237;232;187;44;1;0;5;0
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua entubada de llave pública (o hidrante);21;21;18;3;0;0;0;0
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;56;52;40;12;0;0;4;0
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua de pipa;21;19;12;7;0;0;2;0
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;147;140;96;43;0;1;6;1
14 Jalisco;009 El Arenal;Disponen de energía eléctrica;No especificado;6;3;2;1;0;0;0;3
14 Jalisco;009 El Arenal;No disponen de energía eléctrica;Total;63;46;23;23;0;0;16;1
14 Jalisco;009 El Arenal;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;23;21;16;5;0;0;2;0
14 Jalisco;009 El Arenal;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;11;5;1;4;0;0;6;0
14 Jalisco;009 El Arenal;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;14;10;3;7;0;0;4;0
14 Jalisco;009 El Arenal;No disponen de energía eléctrica;Agua de pipa;4;1;0;1;0;0;3;0
