INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico;;;;;;;;;;;
Fecha de elaboración: 25/02/2011;;;;;;;;;;;
;;;;;;;;;;;
Viviendas particulares habitadas por municipio, disponibilidad de energía eléctrica y agua;;;;;;;;;;;Vivienda 9
según disponibilidad de drenaje y lugar de desalojo;;;;;;;;;;;
;;;;;;;;;;;
Entidad federativa;Municipio;Energía eléctrica;Disponibilidad de agua;Viviendas particulares habitadas1;Disponen de drenaje;;;;;No tiene drenaje;No especificado
;;;;;Lugar de desalojo;;;;;;
;;;;;Total;Red pública;Fosa séptica;Tubería que va a dar a una barranca o grieta;Tubería que va a dar a un río, lago o mar;;
;;;;;;;;;;;
14 Jalisco;002 Acatlán de Juárez;Disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;36;34;6;23;4;1;2;0
14 Jalisco;002 Acatlán de Juárez;Disponen de energía eléctrica;No especificado;6;2;2;0;0;0;1;3
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Total;24;22;8;13;1;0;2;0
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Agua entubada dentro de la vivienda;4;4;3;0;1;0;0;0
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Agua entubada fuera de la vivienda pero dentro del terreno;3;3;2;1;0;0;0;0
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Agua entubada que acarrean de otra vivienda;8;8;3;5;0;0;0;0
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Agua de pipa;4;3;0;3;0;0;1;0
14 Jalisco;002 Acatlán de Juárez;No disponen de energía eléctrica;Agua de pozo, río, lago, arroyo u otra;5;4;0;4;0;0;1;0
14 Jalisco;002 Acatlán de Juárez;No especificado;Total;11;1;1;0;0;0;0;10
14 Jalisco;002 Acatlán de Juárez;No especificado;Agua entubada dentro de la vivienda;1;1;1;0;0;0;0;0
14 Jalisco;002 Acatlán de Juárez;No especificado;No especificado;10;0;0;0;0;0;0;10
14 Jalisco;003 Ahualulco de Mercado;Total;Total;5.642;5.552;5.407;102;5;38;69;21
14 Jalisco;003 Ahualulco de Mercado;Total;Agua entubada dentro de la vivienda;5.236;5.191;5.105;66;4;16;32;13
